 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Ano e Imuno
Período:1994-2019
"Ano";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"018 Sarampo";"009 Haemophilus influenzae b";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"1994";88,29;...;...;...;8,85;...;...;58,23;...;5,27;...;...;...;...;...;...;...;64,75;...;...;71,35;...;...;...;49,46
"1995";103,62;...;...;...;10,50;...;...;77,82;...;4,81;...;...;...;...;...;...;...;80,53;...;...;86,85;0,00;...;...;52,02
"1996";104,19;...;...;...;16,50;...;...;80,85;...;5,65;...;...;...;...;...;...;...;78,24;...;...;80,39;0,01;...;...;52,26
"1997";117,12;...;...;...;5,79;...;...;89,27;...;7,84;...;...;...;...;...;...;...;78,50;...;...;108,61;0,03;...;...;58,17
"1998";111,61;...;...;...;12,63;...;...;95,30;...;18,49;...;...;...;...;...;...;...;92,97;...;...;95,26;0,84;...;...;61,01
"1999";117,28;...;-;...;83,50;...;...;99,08;...;29,06;...;...;...;...;6692,10;...;...;94,46;...;...;99,31;5,09;...;...;75,94
"2000";111,74;...;-;...;91,08;...;...;101,44;...;37,14;...;...;...;...;77,50;...;...;94,71;...;...;105,35;87,85;...;...;78,53
"2001";112,60;...;-;...;91,88;...;...;102,83;...;40,24;...;...;...;...;88,43;...;...;97,45;...;...;103,85;93,10;...;...;81,18
"2002";110,28;...;-;...;91,47;...;...;100,01;...;38,70;...;...;...;...;96,92;...;...;44,69;...;...;96,02;38,98;...;...;68,59
"2003";108,47;...;-;...;92,00;...;...;100,48;...;34,68;...;...;...;...;112,95;...;...;1,41;...;...;4,06;1,72;...;...;50,68
"2004";113,36;...;...;-;96,26;...;...;104,30;...;38,29;...;...;...;...;110,93;...;...;102,41;...;...;...;...;...;...;83,70
"2005";114,48;...;...;-;98,46;...;...;105,12;...;42,95;...;...;...;...;106,55;...;...;102,82;...;...;...;...;...;...;85,10
"2006";113,06;...;46,52;-;100,30;...;...;105,25;...;46,17;...;...;...;...;105,35;...;...;103,50;...;...;...;...;...;...;81,14
"2007";111,08;...;79,79;-;99,89;...;...;105,43;...;49,23;...;...;...;...;106,80;...;...;103,25;...;...;...;...;...;...;86,21
"2008";108,91;...;81,18;-;96,06;...;...;100,18;...;47,09;...;...;...;...;99,81;...;...;97,98;...;...;...;...;...;...;83,18
"2009";108,71;...;85,99;-;100,20;...;...;103,66;...;49,69;...;...;...;...;103,74;...;...;101,71;...;...;...;...;...;...;87,09
"2010";106,71;...;83,04;26,88;96,08;...;24,02;99,35;...;49,25;...;...;...;...;99,93;...;...;98,01;...;...;...;...;...;...;76,98
"2011";107,94;...;87,06;105,66;97,71;...;81,65;101,33;...;48,95;...;...;...;...;102,39;...;...;99,61;...;...;...;...;...;...;92,48
"2012";105,69;...;86,37;96,18;96,67;24,89;88,39;96,55;...;49,31;...;...;...;...;99,50;...;...;93,81;...;...;...;...;...;...;83,73
"2013";107,42;-;93,52;99,70;100,56;95,89;93,57;100,71;...;51,50;-;93,11;92,35;92,92;107,46;68,87;34,19;97,85;...;90,96;...;...;50,73;2,80;73,99
"2014";107,28;88,54;93,44;96,36;96,42;94,85;93,45;96,76;...;46,86;60,13;87,95;88,55;86,31;112,80;92,88;90,19;95,48;2,41;86,36;...;...;43,50;9,34;76,76
