 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Região/Unidade da Federação e Imuno
Período:1994
"Região/Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"075 DTP";"018 Sarampo";"Total"
"Região Norte";74,03;16,32;35,07;6,05;54,82;57,45;40,62
".. Rondônia";93,86;47,54;54,17;8,29;62,68;75,57;57,02
".. Acre";61,01;11,21;24,31;-;30,66;37,05;27,37
".. Amazonas";41,00;27,96;17,86;7,55;32,00;34,81;26,86
".. Roraima";99,64;10,60;49,36;3,70;70,53;90,29;54,02
".. Pará";84,18;3,46;38,36;5,36;64,67;63,49;43,25
".. Amapá";...;...;...;...;...;...;...
".. Tocantins";...;...;...;...;...;...;...
"Região Nordeste";94,37;0,01;64,90;6,24;67,76;76,54;51,64
".. Maranhão";66,55;0,07;34,81;33,62;39,16;45,26;36,58
".. Piauí";99,20;-;53,33;0,01;65,65;67,65;47,64
".. Ceará";104,65;-;94,18;-;91,04;103,72;65,60
".. Rio Grande do Norte";101,77;-;69,70;-;78,79;80,44;55,12
".. Paraíba";...;...;...;...;...;...;...
".. Pernambuco";84,38;-;51,16;-;58,85;73,31;44,62
".. Alagoas";...;...;...;...;...;...;...
".. Sergipe";...;...;...;...;...;...;...
".. Bahia";109,49;-;76,43;-;75,38;82,51;57,30
"Região Sudeste";94,31;90,42;73,72;-;87,09;96,21;73,62
".. Minas Gerais";...;...;...;...;...;...;...
".. Espírito Santo";94,31;90,42;73,72;-;87,09;96,21;73,62
".. Rio de Janeiro";...;...;...;...;...;...;...
".. São Paulo";...;...;...;...;...;...;...
"Região Sul";112,64;38,45;87,00;0,12;87,23;87,35;68,80
".. Paraná";...;...;...;...;...;...;...
".. Santa Catarina";112,64;38,45;87,00;0,12;87,23;87,35;68,80
".. Rio Grande do Sul";...;...;...;...;...;...;...
"Região Centro-Oeste";64,92;0,00;41,33;3,50;46,05;50,89;34,45
".. Mato Grosso do Sul";...;...;...;...;...;...;...
".. Mato Grosso";78,75;0,01;48,25;5,70;57,62;63,74;42,34
".. Goiás";56,81;-;37,28;2,21;39,27;43,36;29,82
".. Distrito Federal";...;...;...;...;...;...;...
"Ignorado/Exterior";...;...;...;...;...;...;...
"Total";88,29;8,85;58,23;5,27;64,75;71,35;49,46
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

