 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Região/Unidade da Federação e Imuno
Período:1995
"Região/Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"Região Norte";102,35;39,16;50,83;20,81;66,12;88,60;-;52,55
".. Rondônia";101,12;69,65;68,75;49,44;71,72;96,54;-;65,32
".. Acre";110,92;51,66;45,84;63,59;49,43;98,03;-;59,92
".. Amazonas";88,38;42,02;48,41;16,68;52,32;74,59;-;46,06
".. Roraima";129,05;45,72;93,94;33,29;82,78;116,47;-;71,61
".. Pará";107,88;31,17;45,48;12,84;71,80;91,81;-;51,57
".. Amapá";94,46;6,92;59,74;0,04;70,55;80,42;-;44,59
".. Tocantins";...;...;...;...;...;...;...;...
"Região Nordeste";102,37;0,00;70,34;5,83;69,47;81,35;-;47,05
".. Maranhão";104,50;0,00;43,91;41,82;59,98;71,00;-;45,89
".. Piauí";117,83;0,01;65,31;0,17;76,54;64,35;-;46,32
".. Ceará";133,83;-;106,37;-;102,96;107,40;-;64,37
".. Rio Grande do Norte";98,10;0,00;73,06;0,00;81,13;83,70;-;48,00
".. Paraíba";68,26;-;40,16;-;46,20;50,75;-;29,34
".. Pernambuco";121,43;-;112,12;0,00;82,58;104,74;-;60,12
".. Alagoas";82,07;-;54,07;-;46,64;72,36;-;36,45
".. Sergipe";119,02;-;92,80;-;85,26;93,22;-;55,76
".. Bahia";81,27;-;48,64;-;53,35;70,49;-;36,25
"Região Sudeste";112,61;5,36;94,11;0,00;97,83;93,85;-;57,68
".. Minas Gerais";...;...;...;...;...;...;...;...
".. Espírito Santo";103,09;86,87;73,97;0,02;90,77;89,98;-;63,53
".. Rio de Janeiro";120,92;0,00;90,96;-;93,93;83,79;-;55,66
".. São Paulo";110,55;-;97,00;-;99,83;97,71;-;57,87
"Região Sul";96,43;30,66;86,29;0,03;86,19;87,14;0,00;55,25
".. Paraná";80,39;26,62;70,01;0,07;70,11;70,47;-;45,38
".. Santa Catarina";114,28;91,98;97,47;0,00;96,82;98,68;0,00;71,32
".. Rio Grande do Sul";102,81;-;96,69;-;96,69;97,74;-;56,28
"Região Centro-Oeste";86,15;0,31;58,92;10,46;64,49;79,58;-;42,85
".. Mato Grosso do Sul";...;...;...;...;...;...;...;...
".. Mato Grosso";100,39;0,02;58,58;18,66;73,26;88,14;-;48,44
".. Goiás";115,33;0,01;85,64;10,10;88,07;110,09;-;58,46
".. Distrito Federal";1,70;1,37;-;-;-;-;-;0,44
"Ignorado/Exterior";...;...;...;...;...;...;...;...
"Total";103,62;10,50;77,82;4,81;80,53;86,85;0,00;52,02
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

