 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Região/Unidade da Federação e Imuno
Período:2002
"Região/Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"Região Norte";119,11;82,59;107,77;96,32;100,21;48,87;100,72;35,42;76,77
".. Rondônia";102,43;92,68;98,27;100,23;94,94;33,14;96,17;33,58;72,37
".. Acre";132,91;84,91;122,35;101,18;104,56;29,65;80,08;15,47;74,37
".. Amazonas";107,78;66,06;91,89;89,94;71,27;40,14;84,27;34,71;65,12
".. Roraima";116,91;85,19;93,31;103,89;75,26;27,50;93,31;20,62;68,50
".. Pará";127,04;85,50;118,45;95,47;120,34;65,43;116,86;42,21;85,65
".. Amapá";129,05;90,72;94,27;98,99;89,81;30,11;54,55;28,85;68,55
".. Tocantins";113,06;95,97;106,54;108,59;88,48;24,50;98,91;20,14;72,92
"Região Nordeste";113,79;91,55;99,05;43,41;90,96;47,82;100,48;38,04;69,44
".. Maranhão";118,94;79,78;96,78;98,70;83,40;44,48;100,98;31,38;72,66
".. Piauí";109,56;93,41;106,35;81,73;95,22;71,78;97,88;65,93;80,19
".. Ceará";110,69;100,35;103,92;0,77;104,11;37,63;105,78;31,35;66,00
".. Rio Grande do Norte";114,24;97,59;94,42;1,76;75,35;40,15;93,59;30,82;60,89
".. Paraíba";112,80;96,61;100,66;0,11;96,56;56,69;101,46;51,17;68,39
".. Pernambuco";123,86;97,84;103,77;8,11;84,64;38,80;107,29;28,95;66,03
".. Alagoas";122,14;95,03;98,48;0,15;97,43;41,63;103,06;36,51;65,97
".. Sergipe";105,13;101,39;103,27;0,29;103,48;43,58;108,69;41,06;67,73
".. Bahia";107,19;83,82;93,10;87,18;88,35;57,05;93,03;42,81;72,47
"Região Sudeste";106,16;92,38;98,42;22,61;101,60;40,17;93,22;38,44;65,95
".. Minas Gerais";97,29;90,25;91,01;68,62;98,80;35,86;74,61;34,66;65,66
".. Espírito Santo";108,58;102,69;114,88;4,13;101,04;31,94;100,05;26,92;65,72
".. Rio de Janeiro";110,33;89,03;111,61;0,38;96,23;67,12;98,25;60,99;70,56
".. São Paulo";108,99;93,82;95,89;8,70;105,13;33,08;100,37;33,01;64,40
"Região Sul";104,75;95,74;98,42;2,57;93,67;43,28;97,78;42,15;64,34
".. Paraná";106,78;99,45;102,67;0,50;101,72;53,28;98,35;52,50;68,41
".. Santa Catarina";102,76;98,88;99,10;4,95;91,38;36,75;99,77;36,30;63,41
".. Rio Grande do Sul";103,68;90,06;93,52;3,45;86,54;36,24;96,07;34,38;60,54
"Região Centro-Oeste";113,88;91,70;104,21;83,93;98,52;51,53;81,64;45,57;74,55
".. Mato Grosso do Sul";114,94;97,30;114,34;107,73;100,22;52,27;99,86;49,30;81,78
".. Mato Grosso";112,31;88,40;111,61;106,44;94,64;45,48;102,84;39,84;77,93
".. Goiás";112,81;90,89;99,28;102,41;99,18;71,18;102,20;60,43;82,02
".. Distrito Federal";116,89;92,17;97,23;0,20;99,92;17,33;-;18,25;49,24
"Ignorado/Exterior";...;...;...;...;...;...;...;...;...
"Total";110,28;91,47;100,01;38,70;96,92;44,69;96,02;38,98;68,59
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

