 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Região/Unidade da Federação e Imuno
Período:2004
"Região/Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"Região Norte";120,65;94,93;110,96;83,35;122,27;104,22;92,88
".. Rondônia";106,60;94,16;103,75;75,87;130,63;103,39;87,77
".. Acre";116,13;83,24;111,35;69,08;123,22;86,59;89,91
".. Amazonas";118,64;77,60;91,44;73,50;86,06;88,50;76,53
".. Roraima";97,50;80,64;91,02;71,01;110,32;85,92;84,00
".. Pará";128,59;105,25;124,94;92,78;143,10;116,01;104,07
".. Amapá";121,20;89,80;104,02;74,56;129,76;96,28;96,00
".. Tocantins";109,27;102,12;106,65;85,29;97,41;105,75;86,64
"Região Nordeste";120,73;98,49;107,09;45,51;118,34;104,63;85,87
".. Maranhão";129,81;95,98;108,34;91,87;106,30;97,84;90,02
".. Piauí";113,52;94,87;106,00;93,78;116,01;100,93;89,30
".. Ceará";115,70;108,58;115,84;0,09;112,89;112,14;84,32
".. Rio Grande do Norte";111,53;95,41;98,65;1,23;110,20;98,47;77,42
".. Paraíba";120,51;98,70;103,13;0,33;114,45;101,57;76,95
".. Pernambuco";121,69;99,51;109,86;8,77;113,70;108,30;80,26
".. Alagoas";123,39;99,02;104,98;0,05;123,77;105,59;79,54
".. Sergipe";107,35;100,92;107,34;-;120,41;107,31;80,52
".. Bahia";123,28;94,24;103,14;99,30;132,66;103,91;93,79
"Região Sudeste";108,96;96,17;102,04;26,95;107,63;101,06;82,70
".. Minas Gerais";108,04;99,70;103,49;86,37;115,20;103,72;90,76
".. Espírito Santo";110,09;105,15;112,22;26,66;113,96;109,12;83,44
".. Rio de Janeiro";109,32;90,68;108,27;0,32;105,97;99,73;77,93
".. São Paulo";109,14;95,86;98,19;10,17;104,30;99,67;80,62
"Região Sul";103,51;93,72;98,02;3,94;97,31;98,43;72,40
".. Paraná";104,83;95,66;99,66;0,15;93,89;99,75;72,59
".. Santa Catarina";103,76;96,09;100,27;9,55;97,79;100,61;73,94
".. Rio Grande do Sul";101,99;90,38;95,04;4,76;100,61;95,83;71,35
"Região Centro-Oeste";114,02;93,97;106,90;67,33;106,73;105,10;87,12
".. Mato Grosso do Sul";99,81;89,83;99,47;73,40;98,49;94,64;82,88
".. Mato Grosso";111,56;93,28;109,45;81,45;110,41;104,57;89,55
".. Goiás";121,32;95,53;111,97;91,07;113,78;113,81;95,50
".. Distrito Federal";115,74;95,52;101,10;0,21;96,70;98,50;72,59
"Ignorado/Exterior";...;...;...;...;...;...;...
"Total";113,36;96,26;104,30;38,29;110,93;102,41;83,70
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

