 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Região/Unidade da Federação e Imuno
Período:2007
"Região/Unidade da Federação";"072 BCG";"061 Rotavírus Humano";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"Região Norte";127,23;62,27;100,34;106,64;103,76;113,47;105,31;93,77
".. Rondônia";114,13;90,01;113,45;120,88;114,96;116,70;122,04;103,37
".. Acre";122,55;51,47;101,72;116,33;97,63;109,45;102,03;92,71
".. Amazonas";125,35;60,25;91,82;93,06;97,76;110,07;94,78;89,86
".. Roraima";103,53;65,27;88,46;95,00;95,97;97,31;92,05;79,70
".. Pará";136,53;56,39;103,32;111,15;107,84;118,49;109,55;95,66
".. Amapá";113,26;63,16;89,91;98,82;87,97;98,29;95,99;87,59
".. Tocantins";109,12;83,36;105,10;109,02;102,65;107,82;108,00;94,47
"Região Nordeste";117,57;75,46;102,20;108,35;48,36;110,45;106,42;85,61
".. Maranhão";141,55;62,95;106,25;118,59;114,12;119,71;111,54;99,04
".. Piauí";107,05;79,41;101,98;108,31;103,72;107,07;105,86;92,09
".. Ceará";112,81;85,67;104,49;108,98;0,15;107,88;108,06;78,51
".. Rio Grande do Norte";113,38;67,49;97,72;99,01;0,61;107,25;99,02;76,21
".. Paraíba";124,46;83,07;105,84;110,40;0,44;116,26;109,68;81,54
".. Pernambuco";114,41;81,34;104,14;110,94;0,36;113,35;108,84;80,73
".. Alagoas";110,48;61,69;90,95;94,38;0,23;99,63;95,40;69,10
".. Sergipe";104,82;92,62;105,13;108,68;0,05;106,25;108,35;80,95
".. Bahia";114,16;72,20;99,72;105,46;101,18;108,20;104,32;92,31
"Região Sudeste";104,08;86,10;97,59;103,32;31,72;102,57;99,67;84,25
".. Minas Gerais";104,74;91,75;103,38;105,58;102,77;109,28;105,86;94,91
".. Espírito Santo";100,20;91,14;102,16;108,97;35,94;104,49;104,78;82,76
".. Rio de Janeiro";110,81;76,93;93,67;112,08;0,32;100,54;96,92;78,63
".. São Paulo";101,67;86,54;96,10;98,67;11,82;100,23;97,53;81,64
"Região Sul";101,46;83,39;98,90;101,97;35,36;103,50;102,06;82,76
".. Paraná";102,85;83,51;100,33;102,69;77,08;103,17;102,88;88,74
".. Santa Catarina";100,83;91,57;101,07;104,07;9,19;102,40;104,14;81,76
".. Rio Grande do Sul";100,32;78,24;95,99;99,89;5,27;104,53;99,89;76,78
"Região Centro-Oeste";114,00;83,83;103,43;108,53;88,45;109,80;108,00;93,33
".. Mato Grosso do Sul";105,88;86,58;101,60;104,83;100,93;106,44;105,50;93,71
".. Mato Grosso";117,62;74,54;104,81;112,30;110,13;114,80;108,85;96,21
".. Goiás";119,46;85,25;106,75;112,35;114,92;116,26;113,90;102,36
".. Distrito Federal";106,67;88,69;97,14;100,31;3,11;95,26;97,88;73,70
"Ignorado/Exterior";...;...;...;...;...;...;...;...
"Total";111,08;79,79;99,89;105,43;49,23;106,80;103,25;86,21
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

