 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:1998
"Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"11 Rondônia";37018;27498;31703;34924;32082;31409;-;194634
"12 Acre";13242;3833;9521;9760;7925;9049;-;53330
"13 Amazonas";73559;14327;58704;73245;44265;49018;-;313118
"14 Roraima";8929;5434;7537;8258;6946;6547;-;43651
"15 Pará";128708;15856;126192;121460;91632;91906;1;575755
"16 Amapá";12649;4195;9218;11313;9406;9767;-;56548
"17 Tocantins";31092;15365;29039;23597;25861;26960;-;151914
"21 Maranhão";155751;4302;84862;99987;90093;114069;-;549064
"22 Piauí";64898;-;49862;762;51641;51743;-;218906
"23 Ceará";166888;1692;149625;1048;147191;150826;-;617270
"24 Rio Grande do Norte";52126;412;41323;275;43762;42226;-;180124
"25 Paraíba";72826;393;61521;82;59117;58741;-;252680
"26 Pernambuco";204655;2007;201163;279;153642;173678;-;735424
"27 Alagoas";65099;2944;40546;7;39104;41328;-;189028
"28 Sergipe";47963;484;37673;6;37698;37000;-;160824
"29 Bahia";270508;30451;207439;2130;197915;222536;-;930979
"31 Minas Gerais";280525;3793;265305;47022;269576;267760;5;1133986
"32 Espírito Santo";63702;54865;66015;18;57059;59045;-;300704
"33 Rio de Janeiro";284553;4309;233775;58;253167;237235;30;1013127
"35 São Paulo";793238;16807;691389;31646;722083;751836;6216;3013215
"41 Paraná";207542;82431;178566;53;177215;210504;3250;859561
"42 Santa Catarina";90682;66204;84974;202;85036;88469;-;415567
"43 Rio Grande do Sul";174635;3721;149235;867;149833;143846;3;622140
"50 Mato Grosso do Sul";47573;299;39241;29430;37149;37732;-;191424
"51 Mato Grosso";57271;2933;55999;36088;48030;48788;-;249109
"52 Goiás";101776;5163;87744;57313;85359;82976;-;420331
"53 Distrito Federal";60820;34231;48687;1319;49613;498;17209;212377
"00 Ignorado/exterior";-;-;-;-;-;-;-;-
"Total";3568228;403949;3046858;591149;2972400;3045492;26714;13654790
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

