 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:2003
"Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"11 Rondônia";31107;27700;30004;29969;36590;108;2498;119;158095
"12 Acre";19352;15118;21043;15243;15745;504;-;102;87107
"13 Amazonas";89590;55904;69813;68771;75069;2082;4393;1395;367017
"14 Roraima";10705;7963;8780;9766;9909;190;1060;53;48426
"15 Pará";197849;139283;190842;160781;198548;3971;-;1221;892495
"16 Amapá";18241;12771;14533;14452;16255;-;123;-;76375
"17 Tocantins";28417;26907;28404;28205;32155;180;1128;94;145490
"21 Maranhão";172918;122543;143536;140949;141123;701;35425;3910;761105
"22 Piauí";60956;53195;62044;51128;66053;1367;4319;1885;300947
"23 Ceará";165587;155983;158482;269;188053;388;5776;1264;675802
"24 Rio Grande do Norte";59280;51043;50932;1054;62194;1333;1536;1248;228620
"25 Paraíba";73423;63535;65860;200;71101;1828;13;1215;277175
"26 Pernambuco";191131;154072;172625;13001;186623;-;8155;-;725607
"27 Alagoas";78389;64258;68233;18;65570;1367;1964;653;280452
"28 Sergipe";38632;37884;39757;159;49116;-;881;21;166450
"29 Bahia";287888;230256;248469;239620;285561;9376;24872;7059;1333101
"31 Minas Gerais";300026;272304;284340;66125;337116;1900;3211;2113;1267135
"32 Espírito Santo";58773;57743;63836;3188;69501;1093;2023;1059;257216
"33 Rio de Janeiro";257794;202753;258845;1099;265779;7870;1764;7010;1002914
"35 São Paulo";664327;599744;599889;61521;746606;4480;20415;15769;2712751
"41 Paraná";166607;156165;162644;269;176903;2862;1922;3990;671362
"42 Santa Catarina";84833;83763;84457;7201;98906;244;419;767;360590
"43 Rio Grande do Sul";154845;136581;143492;6780;172210;957;2916;1519;619300
"50 Mato Grosso do Sul";42407;38327;42024;41717;47714;416;737;415;213757
"51 Mato Grosso";56180;46675;56309;54141;62205;293;2121;298;278222
"52 Goiás";102451;84923;95869;91915;103250;1319;2121;1085;482933
"53 Distrito Federal";53340;41490;44694;334;46557;77;8;745;187245
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-
"Total";3465048;2938883;3209756;1107875;3626412;44906;129800;55009;14577689
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

