 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:2004
"Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"11 Rondônia";30836;27239;30011;21947;37787;29907;177727
"12 Acre";19048;13653;18263;11331;20211;14202;96708
"13 Amazonas";84632;55355;65233;52434;61390;63133;382177
"14 Roraima";9498;7856;8867;6918;10747;8370;52256
"15 Pará";183739;150399;178529;132571;204477;165768;1015483
"16 Amapá";16925;12539;14525;10412;18120;13445;85966
"17 Tocantins";28049;26214;27376;21895;25004;27147;155685
"21 Maranhão";164230;121431;137068;116225;134480;123778;797212
"22 Piauí";62148;51940;58033;51339;63514;55255;342229
"23 Ceará";158890;149115;159091;118;155034;154000;776248
"24 Rio Grande do Norte";56684;48487;50134;626;56008;50043;261982
"25 Paraíba";74953;61389;64143;207;71188;63174;335054
"26 Pernambuco";182000;148829;164302;13120;170055;161975;840281
"27 Alagoas";73119;58675;62209;31;73341;62569;329944
"28 Sergipe";38442;36141;38439;-;43120;38426;194568
"29 Bahia";288944;220886;241737;232752;310929;243548;1538796
"31 Minas Gerais";299984;276808;287340;239803;319842;287979;1711756
"32 Espírito Santo";58604;55973;59736;14189;60660;58087;307249
"33 Rio de Janeiro";251299;208445;248893;741;243591;229254;1182223
"35 São Paulo";674353;592277;606666;62848;644411;615809;3196364
"41 Paraná";167352;152709;159099;236;149885;159239;788520
"42 Santa Catarina";88692;82129;85707;8167;83588;85998;434281
"43 Rio Grande do Sul";156086;138326;145450;7290;153987;146663;747802
"50 Mato Grosso do Sul";41490;37341;41345;30510;40938;39339;230963
"51 Mato Grosso";57119;47762;56040;41702;56534;53543;312700
"52 Goiás";106037;83492;97861;79595;99442;99471;565898
"53 Distrito Federal";52597;43407;45945;96;44578;44760;231383
"00 Ignorado/exterior";-;-;-;-;-;-;-
"Total";3425750;2908817;3152042;1157103;3352861;3094882;17091455
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

