 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:2007
"Unidade da Federação";"072 BCG";"061 Rotavírus Humano";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"11 Rondônia";26244;20698;26087;27794;26435;26833;28063;182154
"12 Acre";19831;8329;16460;18825;15798;17711;16510;113464
"13 Amazonas";92081;44261;67455;68361;71818;80863;69624;494463
"14 Roraima";9920;6254;8476;9103;9196;9324;8820;61093
"15 Pará";204987;84663;155130;166888;161916;177913;164487;1115984
"16 Amapá";16338;9111;12969;14255;12690;14179;13847;93389
"17 Tocantins";27292;20848;26287;27268;25674;26968;27012;181349
"21 Maranhão";180206;80144;135267;150977;145279;152403;141992;986268
"22 Piauí";56963;42258;54267;57633;55190;56977;56331;379619
"23 Ceará";150981;114666;139845;145864;199;144386;144633;840574
"24 Rio Grande do Norte";54498;32440;46968;47590;292;51548;47594;280930
"25 Paraíba";74001;49391;62927;65642;260;69121;65212;386554
"26 Pernambuco";163715;116390;149024;158743;511;162203;155750;906336
"27 Alagoas";63425;35415;52210;54180;131;57195;54763;317319
"28 Sergipe";37525;33159;37637;38908;17;38038;38792;224076
"29 Bahia";251597;159127;219788;232437;223006;238476;229916;1554347
"31 Minas Gerais";271789;238099;268266;273978;266681;283575;274695;1877083
"32 Espírito Santo";51121;46501;52122;55593;18336;53312;53456;330441
"33 Rio de Janeiro";240301;166838;203140;243055;690;218038;210196;1282258
"35 São Paulo";605155;515076;572003;587266;70366;596559;580521;3526946
"41 Paraná";151763;123227;148033;151523;113732;152234;151800;992312
"42 Santa Catarina";82580;75001;82778;85235;7525;83872;85297;502288
"43 Rio Grande do Sul";133823;104371;128048;133253;7034;139437;133250;779216
"50 Mato Grosso do Sul";40891;33437;39240;40485;38979;41108;40746;274886
"51 Mato Grosso";55731;35316;49660;53211;52181;54392;51572;352063
"52 Goiás";101722;72593;90902;95673;97858;99001;96987;654736
"53 Distrito Federal";47040;39109;42839;44236;1370;43013;43164;260771
"00 Ignorado/exterior";-;-;-;-;-;-;-;-
"Total";3211520;2306722;2887828;3047976;1423164;3088679;2985030;18950919
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

