 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:2010
"Unidade da Federação";"072 BCG";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"012 Pneumocócica";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"11 Rondônia";26805;22097;1262;25747;6118;26389;25487;26184;26765;186854
"12 Acre";19256;11252;68;15726;820;17536;15368;16330;15578;111934
"13 Amazonas";87714;44380;947;70130;5737;69942;67145;75715;71222;492932
"14 Roraima";10908;6906;490;8753;2253;9318;8744;9104;9200;65676
"15 Pará";177783;95397;628;143543;979;147442;143762;158243;144554;1012331
"16 Amapá";16539;10512;35;12887;650;12974;11777;13166;13357;91897
"17 Tocantins";25117;20824;1075;24294;8928;24213;23189;23745;24272;175657
"21 Maranhão";154853;89992;868;123872;1137;131755;129301;135911;128998;896687
"22 Piauí";51780;40851;58;48739;181;49400;47857;49923;49411;338200
"23 Ceará";140053;115110;30280;130780;1977;132742;217;136520;133300;820979
"24 Rio Grande do Norte";55014;37048;358;46096;9326;47268;66;49248;46472;290896
"25 Paraíba";65785;46264;303;58850;18702;60581;191;71584;60780;383040
"26 Pernambuco";152554;118077;2953;140043;41194;143483;407;148602;144905;892218
"27 Alagoas";56336;41485;1654;53580;3690;55727;149;54678;54905;322204
"28 Sergipe";31892;31407;31;34597;12528;35044;26;34471;34977;214973
"29 Bahia";231351;157025;140217;205540;6163;208801;205140;224135;210246;1588618
"31 Minas Gerais";257245;235205;329122;244257;125971;253366;241446;251626;255981;2194219
"32 Espírito Santo";54992;46850;13079;51052;22981;53039;529;51316;52047;345885
"33 Rio de Janeiro";234528;170877;18072;195513;4273;231439;765;205694;199592;1260753
"35 São Paulo";607038;534019;63632;572223;251310;578068;114673;567951;573280;3862194
"41 Paraná";154864;136725;6353;145876;52743;148567;106851;142665;149422;1044066
"42 Santa Catarina";86300;77890;4764;82389;47167;82456;19999;84528;82690;568183
"43 Rio Grande do Sul";128689;109824;3741;121568;19538;123408;39181;125127;123041;794117
"50 Mato Grosso do Sul";42367;35259;1151;38791;13213;40118;37683;40352;40405;289339
"51 Mato Grosso";47812;41505;811;46794;4565;48664;45349;47353;47435;330288
"52 Goiás";103479;75655;7724;85312;16658;87946;89424;93416;89406;649020
"53 Distrito Federal";49799;39097;9428;40084;13127;41380;1303;40597;40583;275398
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-
"Total";3070853;2391533;639104;2767036;691929;2861066;1376029;2878184;2822824;19498558
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

