 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:2013
"Unidade da Federação";"072 BCG";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"006 Febre Amarela";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"11 Rondônia";29899;26607;27217;28044;26601;26153;27664;28662;25742;24726;26567;29447;20611;10588;27006;2396;26027;15969;841;430767
"12 Acre";18890;13077;14293;15094;14510;12277;16509;14968;9976;10226;14720;16905;4819;2285;14694;1488;13123;8466;272;216592
"13 Amazonas";88990;57832;65726;65782;64515;57516;73694;69525;57903;58211;63657;75174;42692;23169;65655;6719;62109;36861;1729;1037459
"14 Roraima";9303;7123;8237;8251;8163;7884;8543;7939;7340;6896;7689;8799;2274;1807;8204;613;7825;3985;1141;122016
"15 Pará";167041;122034;127639;132625;124748;110654;137661;127845;108597;112679;127669;139806;49343;28590;127201;10456;118613;78115;4417;1955733
"16 Amapá";17692;11407;13806;13969;13685;11771;14101;12478;11830;10341;13187;14452;7318;4560;13803;1281;12610;8077;59;206427
"17 Tocantins";23039;22579;24499;26306;24549;23502;24278;23339;22256;21493;20836;25597;18104;8679;24612;987;19965;13099;563;368282
"21 Maranhão";137377;107809;113509;121365;116883;104428;128088;120385;98143;102554;115923;128874;55792;28402;117977;14967;129963;66039;5155;1813633
"22 Piauí";48407;44930;47225;47025;45226;45274;46683;45316;46393;44181;44719;51345;38212;15364;45533;2852;43991;27888;1238;731802
"23 Ceará";139709;123131;129269;129699;126070;119897;134770;260;127540;121578;129144;148090;88488;35498;127276;5197;126989;75341;3723;1891669
"24 Rio Grande do Norte";52490;41411;44478;43077;41784;41002;45139;59;43708;40679;42706;54364;30836;14636;42445;3774;41843;25428;1476;651335
"25 Paraíba";65991;52756;56866;58765;57335;54826;63581;333;53463;48317;58651;67338;35802;20085;57777;4246;52172;31244;2146;841694
"26 Pernambuco";149408;133789;140115;146282;135956;131907;142876;590;131346;131618;131812;170736;92492;43613;137584;10873;120551;86084;9182;2046814
"27 Alagoas";61087;46096;50877;51872;49555;46268;52971;190;47040;44255;44424;60134;31711;14618;50014;4042;43508;30322;1871;730855
"28 Sergipe";33742;34545;33720;34943;34567;34037;34720;22;36153;35586;36667;38921;27895;14717;34718;791;36786;20996;223;523749
"29 Bahia";217606;184435;204376;194537;180677;191465;206888;198330;194311;192956;194336;234305;146984;79142;196025;17720;199951;122067;10167;3166278
"31 Minas Gerais";270424;257591;275199;270567;265637;272078;268316;259636;272875;257517;257244;281321;216983;101741;268283;9594;259816;133535;6470;4204827
"32 Espírito Santo";55536;51600;52903;56960;51606;52212;53171;298;51829;48985;49209;56339;45039;21137;52006;2728;41493;26621;1244;770916
"33 Rio de Janeiro";235729;200327;216366;212848;203431;187916;220297;2298;189030;183326;179485;238401;147768;74995;204395;20006;176611;86726;2755;2982710
"35 São Paulo";632503;595030;623472;636915;593322;584660;603850;124820;587137;615997;593034;630776;462032;229640;611188;10601;567321;289721;14724;9006743
"41 Paraná";168189;150877;161260;159710;155867;158137;160010;124954;156528;149510;140796;168515;117981;61461;158335;7356;142474;67302;1506;2410768
"42 Santa Catarina";89430;84215;88511;91515;85017;86982;85543;25219;86026;88828;79816;91516;62718;31357;85935;2240;77040;39420;1356;1282684
"43 Rio Grande do Sul";152706;126927;142861;141238;139107;135464;138103;84765;124058;120370;108405;145502;103686;50990;140676;8872;113270;61093;2241;2040334
"50 Mato Grosso do Sul";47717;43862;47883;47736;46630;47114;49720;45132;45512;42764;43883;47992;18824;15131;47406;2163;43201;19263;1054;702987
"51 Mato Grosso";54578;48084;50909;50710;49012;47858;51754;51033;46003;46806;48804;55106;30277;15609;50241;2480;48297;28752;1656;777969
"52 Goiás";104426;91915;95257;96732;94687;90962;96587;92911;85671;84961;86678;105626;62735;29154;95666;6237;81533;42302;2928;1446968
"53 Distrito Federal";57898;44824;48495;47339;44711;44130;48761;38063;46609;45313;47165;45742;45151;19319;46452;4865;43181;33283;1477;752778
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";3129807;2724813;2904968;2929906;2793851;2726374;2934278;1499370;2713019;2690673;2707226;3131123;2006567;996287;2851107;165544;2650263;1477999;81614;43114789
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

