"co_ibge";"uf";"cidade";"bcg";"hepatiteb";"polio";"tetravalente";"rotavirus";"mes";"ano"
"120001";"AC";"Acrelândia";"24";"";"154";"";"186";"12";"2017"
"120005";"AC";"Assis Brasil";"181";"";"118";"";"112";"12";"2017"
"120010";"AC";"Brasiléia";"433";"";"411";"";"446";"12";"2017"
"120013";"AC";"Bujari";"179";"";"55";"";"57";"12";"2017"
"120017";"AC";"Capixaba";"13";"";"148";"";"160";"12";"2017"
"120020";"AC";"Cruzeiro do Sul";"1404";"";"1160";"";"1235";"12";"2017"
"120025";"AC";"Epitaciolândia";"242";"";"257";"";"259";"12";"2017"
"120030";"AC";"Feijó";"685";"";"476";"";"509";"12";"2017"
"120032";"AC";"Jordão";"243";"";"238";"";"232";"12";"2017"
"120033";"AC";"Mâncio Lima";"456";"";"271";"";"286";"12";"2017"
"120034";"AC";"Manoel Urbano";"135";"";"195";"";"196";"12";"2017"
"120035";"AC";"Marechal Thaumaturgo";"373";"";"298";"";"307";"12";"2017"
"120038";"AC";"Plácido de Castro";"36";"";"218";"";"236";"12";"2017"
"120080";"AC";"Porto Acre";"7";"";"221";"";"222";"12";"2017"
"120039";"AC";"Porto Walter";"305";"";"218";"";"235";"12";"2017"
"120040";"AC";"Rio Branco";"8713";"";"5274";"";"5381";"12";"2017"
"120042";"AC";"Rodrigues Alves";"357";"";"130";"";"131";"12";"2017"
"120043";"AC";"Santa Rosa do Purus";"149";"";"126";"";"124";"12";"2017"
"120045";"AC";"Senador Guiomard";"22";"";"293";"";"243";"12";"2017"
"120050";"AC";"Sena Madureira";"663";"";"551";"";"588";"12";"2017"
"120060";"AC";"Tarauacá";"1466";"";"906";"";"778";"12";"2017"
"120070";"AC";"Xapuri";"89";"";"307";"";"285";"12";"2017"
"270010";"AL";"Água Branca";"276";"";"254";"";"220";"12";"2017"
"270020";"AL";"Anadia";"207";"";"198";"";"202";"12";"2017"
"270030";"AL";"Arapiraca";"3743";"";"3525";"";"3620";"12";"2017"
"270040";"AL";"Atalaia";"623";"";"622";"";"644";"12";"2017"
"270050";"AL";"Barra de Santo Antônio";"252";"";"252";"";"274";"12";"2017"
"270060";"AL";"Barra de São Miguel";"159";"";"158";"";"161";"12";"2017"
"270070";"AL";"Batalha";"273";"";"343";"";"337";"12";"2017"
"270080";"AL";"Belém";"76";"";"76";"";"88";"12";"2017"
"270090";"AL";"Belo Monte";"93";"";"111";"";"116";"12";"2017"
"270100";"AL";"Boca da Mata";"447";"";"337";"";"316";"12";"2017"
