indicx,no_cidade
"93.81","Santa Cruz"
"84.90","Serra da Raiz"
"84.21","Lagoa"
"106.25","São Vicente do Seridó"
"51.61","Parari"
"86.48","Poço de José de Moura"
"96.89","Patos"
"133.96","Riachão do Poço"
"112.50","Passagem"
"117.92","Picuí"
"145.45","Poço Dantas"
"120.80","Juru"
"112.82","Juarez Távora"
"98.97","Pedras de Fogo"
"120.77","Mataraca"
"129.84","Lucena"
"134.28","Riacho de Santo Antônio"
"100.90","Juazeirinho"
"102.43","São José do Sabugi"
"100.93","Marizópolis"
"105.33","Serra Branca"
"72.29","Salgado de São Félix"
"98.38","Riachão do Bacamarte"
"56.33","Prata"
"125.00","São José do Brejo do Cruz"
"200.00","São Francisco"
"171.05","Riachão"
"66.66","Quixabá"
"113.00","São Miguel de Taipu"
"116.52","Livramento"
"159.30","São José dos Ramos"
"85.69","Mamanguape"
"113.53","Queimadas"
"96.38","Pombal"
"101.11","Serra Redonda"
"111.26","Matinhas"
"113.76","Maturéia"
"87.00","Fronteira"
"89.56","Dores de Campos"
"110.41","Funilândia"
"120.74","Lagoa Seca"
"69.71","São José da Lagoa Tapada"
"100.00","Lastro"
"156.40","Santa Rita"
"100.00","Logradouro"
"110.47","Pedra Lavrada"
"74.40","Pitimbu"
"86.11","Mato Grosso"
"71.42","Santa Inês"
"114.81","Mãe d'Água"
"106.51","São Bento"
"76.27","São José dos Cordeiros"
"70.80","Nazarezinho"
"65.00","São José do Bonfim"
"86.30","Pirpirituba"
"92.50","Pilõezinhos"
"90.00","Serra Grande"
"108.80","Piancó"
"90.90","Santo André"
"71.79","São Domingos do Cariri"
"84.53","Montadas"
"92.90","Marcação"
"122.29","Remígio"
"141.86","Olivedos"
"74.07","Ouro Velho"
"57.33","Salgadinho"
"105.00","São José de Caiana"
"84.67","Riacho dos Cavalos"
"60.40","Pilões"
"93.93","Nova Palmeira"
"114.47","Santana de Mangueira"
"98.30","Monteiro"
"117.64","Pedro Régis"
"83.83","São Sebastião de Lagoa de Roça"
"104.85","Nova Olinda"
"130.76","Pedra Branca"
"99.35","Manaíra"
"119.00","Natuba"
"80.66","São José de Piranhas"
"109.36","Mari"
"81.81","São João do Tigre"
"108.03","Junco do Seridó"
"71.60","Santa Helena"
"85.71","São Mamede"
"164.28","São José de Princesa"
"99.69","Pocinhos"
"121.30","Massaranduba"
"77.96","São Sebastião do Umbuzeiro"
"92.85","Monte Horebe"
"116.86","Paulista"
"82.60","São José de Espinharas"
"104.86","Pilar"
"85.95","Sapé"
"97.36","Juripiranga"
"89.13","Malta"
"90.69","Nova Floresta"
"68.18","São Domingos"
"100.00","Joca Claudino"
"177.66","Jacaraú"
"98.68","Puxinanã"
"182.71","Princesa Isabel"
"104.61","Afogados da Ingazeira"
"125.28","Goiana"
"95.76","Buenos Aires"
"90.98","Floresta"
"103.26","Cupira"
"81.71","Belém do São Francisco"
"86.87","Teixeira"
"98.05","Jaboatão dos Guararapes"
"87.73","Correntes"
"114.01","Glória do Goitá"
"125.00","Aliança"
"80.75","Jaqueira"
"116.55","Caetés"
"112.16","Escada"
"91.81","Calumbi"
"100.93","Chã de Alegria"
"142.39","Cortês"
"103.48","João Alfredo"
"98.17","Frei Miguelinho"
"115.58","Garanhuns"
"113.63","Casinhas"
"132.91","Serraria"
"127.12","Abreu e Lima"
"80.76","Itacuruba"
"126.92","Calçado"
"101.04","Cachoeirinha"
"88.57","Araripina"
"108.85","Jataúba"
"93.10","Cumaru"
"137.09","Sertãozinho"
"86.06","Ilha de Itamaracá"
"97.68","Feira Nova"
"87.32","Umbuzeiro"
"112.55","Taperoá"
"104.89","Condado"
"79.36","Vieirópolis"
"99.48","Uiraúna"
"100.00","Capoeiras"
"116.90","Cedro"
"111.46","Brejo da Madre de Deus"
"102.13","Igarassu"
"117.44","Jatobá"
"114.35","Bonito"
"91.03","Buíque"
"80.92","Brejão"
"107.14","Sobrado"
"100.32","Cabrobó"
"102.96","Solânea"
"105.26","Itaquitinga"
"94.59","Brejinho"
"96.86","Sumé"
"98.19","Granito"
"117.29","Carnaubeira da Penha"
"102.96","Bodocó"
"80.66","Iati"
"143.97","Barra de Guabiraba"
"86.61","Águas Belas"
"121.64","Angelim"
"144.23","Ibirajuba"
"138.75","Tavares"
"131.93","Camutanga"
"121.56","Flores"
"123.92","Ibimirim"
"131.74","Custódia"
"105.97","Caruaru"
"120.64","Itapissuma"
"92.43","Iguaracy"
"90.00","Sossêgo"
"106.80","Sousa"
"103.88","Catende"
"101.93","Amaraji"
"142.35","Araçoiaba"
"101.27","Dormentes"
"93.38","Tacima"
"95.96","Inajá"
"122.53","Chã Grande"
"100.93","Bom Conselho"
"90.34","Belém de Maria"
"106.73","Triunfo"
"115.02","Camocim de São Félix"
"107.15","Bezerros"
"101.63","Ingazeira"
"128.20","Ferreiros"
"122.97","Soledade"
"115.88","Exu"
"93.09","Carpina"
"101.24","Arcoverde"
"96.63","Afrânio"
"92.78","Ipubi"
"113.24","Betânia"
"132.03","Ipojuca"
"115.56","Agrestina"
"103.34","Bom Jardim"
"87.12","Itapetim"
"106.22","Cabo de Santo Agostinho"
"119.51","Camaragibe"
"180.00","Fernando de Noronha"
"132.14","Alagoinha"
"94.12","Itambé"
"79.41","Várzea"
"123.00","Carnaíba"
"109.52","Zabelê"
"104.76","Belo Jardim"
"101.56","Canhotinho"
"137.77","Tenório"
"111.30","Gravatá"
"141.43","Gameleira"
"68.70","Água Preta"
"110.56","Barreiros"
"103.21","Altinho"
"160.86","Itaíba"
"101.66","Limoeiro"
"96.37","Taquaritinga do Norte"
"103.20","Barra de São Miguel"
"134.05","Poção"
"105.68","Xexéu"
"129.78","Moreilândia"
"109.04","Lagoa Grande"
"100.53","Salgueiro"
"103.84","Água Branca"
"110.02","Pesqueira"
"105.51","Ribeirão"
"90.15","Branquinha"
"78.44","Joaquim Nabuco"
"114.91","Paulista"
"129.44","Sanharó"
"109.13","Nazaré da Mata"
"84.59","Panelas"
"102.39","Capela"
"94.74","Vicência"
"96.81","Recife"
"154.90","Quixaba"
"112.87","Solidão"
"105.04","Vertentes"
"120.76","Petrolândia"
"100.00","Paranatama"
"102.08","Belo Monte"
"125.68","Olinda"
"128.10","São José da Coroa Grande"
"84.84","Tabira"
"95.50","Moreno"
"103.42","Venturosa"
"104.11","Passira"
"117.41","Sairé"
"109.52","Pombos"
"131.07","Palmares"
"90.35","Canapi"
"179.19","Serra Talhada"
"105.91","Santa Maria da Boa Vista"
"130.89","Santa Cruz do Capibaribe"
"99.51","Machados"
"118.03","São Lourenço da Mata"
"97.45","Batalha"
"82.85","Lagoa de Itaenga"
"140.42","Santa Maria do Cambucá"
"94.92","Trindade"
"97.81","Orobó"
"98.69","Riacho das Almas"
"97.39","Cacimbinhas"
"89.06","Rio Formoso"
"116.75","Primavera"
"96.25","São Benedito do Sul"
"102.38","Lagoa do Ouro"
"140.54","São José do Belmonte"
"99.71","São João"
"116.35","Pedra"
"96.13","Paudalho"
"77.86","Tacaratu"
"84.84","Campo Grande"
"161.11","Jucati"
"119.40","Mirandiba"
"141.42","Macaparana"
"108.97","Saloá"
"121.48","Tamandaré"
"110.73","Terra Nova"
"126.13","Santa Cruz"
"110.18","Jurema"
"98.36","Campo Alegre"
"109.69","Ouricuri"
"115.30","Boca da Mata"
"110.79","Triunfo"
"94.45","Lajedo"
"92.15","Vertente do Lério"
"95.86","Tupanatinga"
"153.17","Palmeirina"
"107.52","Orocó"
"93.11","Timbaúba"
"91.98","São Bento do Una"
"131.50","Salgadinho"
"77.47","Manari"
"101.93","Atalaia"
"119.63","Parnamirim"
"117.72","Belém"
"101.90","Quipapá"
"113.07","Petrolina"
"101.56","Serrita"
"111.24","Sertânia"
"103.04","São José do Egito"
"97.08","Cajueiro"
"90.96","Santa Terezinha"
"92.88","Santa Filomena"
"100.97","Santa Cruz da Baixa Verde"
"93.29","Vitória de Santo Antão"
"80.62","Terezinha"
"110.31","Maraial"
"104.11","São Caitano"
"120.00","Tracunhaém"
"148.97","Campestre"
"105.21","Surubim"
"95.74","Barra de Santo Antônio"
"122.07","Lagoa dos Gatos"
