Cartório,Qtd. Nascimentos informados por arquivo,Qtd. Casamentos informados por arquivo,Qtd. Óbitos informados por arquivo,Qtd. Nascimentos informados on-line,Qtd. Casamentos informados on-line,Qtd. Óbitos informados on-line,Qtd. Nascimentos informados por outros meios,Qtd. Casamentos informados por outros meios,Qtd. Óbitos informados por outros meios,Qtd. Nascimentos informados pelo SISOBI,Qtd. Casamentos informados pelo SISOBI,Qtd. Óbitos informados pelo SISOBI
91,939,419,496,0,0,0,0,0,0,0,0,1627
182,853,758,415,0,0,0,0,0,0,0,0,0
190,0,0,0,6,5,4,0,0,0,0,0,0
208,73,40,28,127,83,23,0,0,0,0,0,0
265,352,64,123,946,84,158,0,0,0,0,0,0
331,549,231,198,1,0,0,0,0,0,0,0,0
356,283,116,64,0,0,0,0,0,0,0,0,0
364,154,98,138,0,0,0,0,0,0,0,0,0
372,135,77,98,0,0,0,0,0,0,0,0,0
422,0,0,0,1,0,0,0,0,0,0,0,0
448,134,0,56,35,10,4,0,0,0,0,0,0
505,0,0,0,111,34,20,0,0,0,0,0,0
570,0,0,0,19,9,5,0,0,0,0,0,0
588,250,0,146,120,77,48,0,0,0,0,0,0
596,79,37,22,0,0,0,0,0,0,0,0,0
646,187,109,82,28,25,22,0,0,0,0,0,0
661,314,206,106,0,0,0,0,0,0,0,0,0
687,6230,2939,2057,12,28,72,0,0,0,0,0,0
703,0,0,0,198,125,47,0,0,0,0,0,0
711,123,0,18,0,0,0,0,0,0,0,0,0
760,5094,1442,2107,0,0,0,0,0,0,0,0,0
794,3882,1409,1124,0,0,0,0,0,0,0,0,0
844,2,1,0,0,20,47,0,0,0,0,0,0
919,403,53,3,269,37,23,0,0,0,0,0,0
984,0,0,0,433,2,12,0,0,0,0,0,0
1057,523,133,79,34,13,8,0,0,0,0,0,0
1446,1574,318,112,204,26,94,0,0,0,0,0,0
1552,4593,1821,940,0,0,0,0,0,0,0,0,0
1883,654,153,192,10,0,1,0,0,0,0,0,0
2022,133,47,61,57,57,85,0,0,0,0,0,0
2121,0,0,0,57,150,18,0,0,0,0,0,0
2139,224,67,73,62,0,13,0,0,0,0,0,0
2147,293,64,93,3,0,1,0,0,0,0,0,0
2154,0,0,0,54,25,89,0,0,0,0,0,0
2162,481,183,122,1,0,0,0,0,0,0,0,0
2188,1147,288,551,0,0,0,0,0,0,0,0,0
2196,41,1,4,0,0,1,0,0,0,0,0,0
2204,115,16,29,0,0,0,0,0,0,0,0,0
2212,51,4,0,0,0,0,0,0,0,0,0,0
2220,238,53,36,0,0,0,0,0,0,0,0,0
2238,1093,340,261,9,0,0,0,0,0,0,0,0
2246,42,38,3,51,23,17,0,0,0,0,0,0
2261,683,283,141,0,0,0,0,0,0,0,0,0
2279,1790,0,1367,0,0,0,0,0,0,0,0,0
2287,260,112,52,0,1,0,0,0,0,0,0,0
2295,205,0,44,66,0,0,0,0,0,0,0,0
2303,1265,396,242,20,3,4,0,0,0,0,0,0
2311,361,112,180,0,0,0,0,0,0,0,0,0
2329,617,341,244,2,0,0,0,0,0,0,0,0
2337,119,39,7,0,1,0,0,0,0,0,0,0
2345,538,100,107,1,1,0,0,0,0,0,0,0
2352,0,0,0,213,112,293,0,0,0,0,0,0
2360,88,33,199,3,4,0,0,0,0,0,0,0
2378,0,0,0,76,35,20,0,0,0,0,0,0
2386,529,116,154,151,35,32,0,0,0,0,0,0
2394,424,131,219,0,0,0,0,0,0,0,0,0
2402,213,69,72,0,0,0,0,0,0,0,0,0
2410,77,13,10,304,118,100,0,0,0,0,0,0
2428,717,77,103,3,0,8,0,0,0,0,0,0
2436,140,24,56,2,0,0,0,0,0,0,0,0
2444,0,0,0,5,2,6,0,0,0,0,0,0
2519,7109,1690,3174,119,107,33,0,0,0,0,0,0
2550,230,33,838,3,1,5,0,0,0,0,0,0
2568,0,0,0,155,60,66,0,0,0,0,0,0
2576,49,16,9,1,0,6,0,0,0,0,0,0
2584,482,103,225,10,11,6,0,0,0,0,0,0
2592,683,167,173,0,0,0,0,0,0,0,0,0
2600,0,0,0,63,58,36,0,0,0,0,0,0
2618,1054,284,182,0,0,0,0,0,0,0,0,0
2626,339,96,89,2,1,0,0,0,0,0,0,0
2642,128,23,31,0,0,1,0,0,0,0,0,0
2659,53,10,18,63,8,35,0,0,0,0,0,0
2667,0,0,0,207,128,14,0,0,0,0,0,0
2675,377,81,29,0,0,0,0,0,0,0,0,0
2683,1376,258,187,29,7,0,0,0,0,0,0,0
2691,364,46,0,0,0,48,0,0,0,0,0,0
2709,238,101,29,0,1,8,0,0,0,0,0,0
2717,1100,230,241,8,1,3,0,0,0,0,0,0
2725,308,76,54,3,2,0,0,0,0,0,0,0
2733,3688,1322,1118,4,0,1,0,0,0,0,0,0
2741,256,66,40,1,13,5,0,0,0,0,0,0
2758,240,73,124,87,1,86,0,0,0,0,0,0
2766,163,213,116,6,0,3,0,0,0,0,0,0
2774,597,100,140,0,0,0,0,0,0,0,0,0
2782,17,3,1,89,40,37,0,0,0,0,0,0
2790,308,89,87,2,2,3,0,0,0,0,0,0
2808,90,13,20,0,0,9,0,0,0,0,0,0
2816,7805,1,7217,52,0,309,0,0,0,0,0,0
2824,60,11,44,0,1,0,0,0,0,0,0,0
2832,814,400,19,0,0,0,0,0,0,0,0,0
2840,7438,0,2895,0,0,0,0,0,0,0,0,0
2857,134,181,205,2,0,0,0,0,0,0,0,0
2865,0,0,0,187,61,65,0,0,0,0,0,0
2873,0,2315,0,0,0,0,0,0,0,0,0,0
2881,0,0,0,154,39,121,0,0,0,0,0,0
2899,854,198,205,0,0,0,0,0,0,0,0,0
2907,268,6,1,24,8,8,0,0,0,0,0,0
2915,71,0,5,0,0,2,0,0,0,0,0,0
2923,306,159,172,5,3,3,0,0,0,0,0,0
2931,275,83,54,0,0,0,0,0,0,0,0,0
2949,12782,0,1594,79,0,47,0,0,0,0,0,0
2956,753,235,173,8,4,1,0,0,0,0,0,0
2964,893,193,28,4,0,15,0,0,0,0,0,0
2972,379,7,127,0,0,0,0,0,0,0,0,0
2980,119,26,26,31,9,28,0,0,0,0,0,0
2998,463,103,51,9,0,9,0,0,0,0,0,0
3004,0,0,0,22,3,7,0,0,0,0,0,0
3012,547,113,76,3,5,0,0,0,0,0,0,0
3020,306,91,68,53,0,7,0,0,0,0,0,0
3046,496,137,104,5,0,1,0,0,0,0,0,0
3053,431,148,328,0,0,0,0,0,0,0,0,0
3061,0,0,0,52,47,1,0,0,0,0,0,0
3186,999,327,160,3,0,2,0,0,0,0,0,0
3228,206,42,28,1,10,1,0,0,0,0,0,0
3319,345,66,88,1,2,0,0,0,0,0,0,0
3327,160,45,36,31,2,8,0,0,0,0,0,0
3335,0,0,0,0,5,67,0,0,0,0,0,0
3376,966,404,487,221,75,141,0,0,0,0,0,0
3459,0,0,0,150,30,28,0,0,0,0,0,0
3467,167,23,0,177,44,54,0,0,0,0,0,0
3475,0,0,0,825,378,177,0,0,0,0,0,0
3483,0,0,0,295,69,82,0,0,0,0,0,0
3491,1582,269,510,1,0,0,0,0,0,0,0,0
3509,184,46,104,0,0,0,0,0,0,0,0,0
3517,431,161,265,0,0,0,0,0,0,0,0,0
3525,1637,432,291,0,1,0,0,0,0,0,0,0
3533,271,22,82,3,0,0,0,0,0,0,0,0
3541,24,1,6,0,0,0,0,0,0,0,0,0
3558,89,14,127,0,0,0,0,0,0,0,0,0
3566,29,16,12,6,0,6,0,0,0,0,0,0
3574,0,0,0,163,0,18,0,0,0,0,0,0
3590,801,168,174,0,17,236,0,0,0,0,0,0
3608,0,0,0,111,18,9,0,0,0,0,0,0
3616,357,126,196,0,0,0,0,0,0,0,0,0
3624,70,2,15,0,0,0,0,0,0,0,0,0
3632,105,21,22,1,0,0,0,0,0,0,0,0
3640,3159,730,509,2,3,4,0,0,0,0,0,0
3657,29,0,6,1,0,0,0,0,0,0,0,0
3665,266,48,16,1,0,23,0,0,0,0,0,0
3673,94,38,10,0,0,0,0,0,0,0,0,0
3681,231,45,27,0,0,0,0,0,0,0,0,0
3699,139,15,25,7,2,9,0,0,0,0,0,0
3707,1233,59,58,0,0,0,0,0,0,0,0,0
3715,328,63,66,0,0,2,0,0,0,0,0,0
3723,127,25,20,7,3,3,0,0,0,0,0,0
3731,549,188,200,8,2,1,0,0,0,0,0,0
3749,95,25,26,49,18,5,0,0,0,0,0,0
